| Jan ??, 2000 | Russian Illegals Juan Lazaro and Vicky Pelaez surveilled in an unidentified South American country
| Oct ??, 2000 | Colonel Sergei Tretyakov defects to the U.S. on Oct 11, 2000 [see: Jul 10, 2010 Pete Earley]
| ??? ??, 2000 | Operations Ghost Stories begins ~10yrs before June 2010 arrests of Russian "Illegals" [see: Nov 11, 2010 Kommersant]
| ??? ??, 2000 | Felix Sater joins Bayrock, sets up offices in Trump Tower [see: Jun 3, 2018 ABC News (Australia)]
| Jan 09, 2001 | DOJ forms Enron Task Force, led by Lisa Monaco, Andrew Weissmann, James Comey, Christopher Wray, and Robert Mueller
| Feb 22, 2001 | The Telegraph: "US double agent 'unmasked by Russian'" (Tretyakov, Hanssen)
| Jan 08, 2004 | First appearance of The Apprentice on NBC [see: Jan 25, 2004 NYT]
| Jan 25, 2004 | NYT: "TELEVISION; Due Diligence on the Donald"
| Aug 04, 2005 | WSJ: "Deputy Attorney General Comey To Take Post at Lockheed Martin"
| Oct 08, 2005 | Ekim Alptekin (Erdogan ally) starts Inovo BV in the Netherlands
| ??? ??, 2006 | Manafort receives pro-Putin payments (~$75m) from 2006-14
| Aug 29, 2006 | John McCain celebrates his 70th birthday in Montenegro on a yacht owned by Oleg Deripaska, published by The Nation
| Sep 12, 2006 | Enron Task Force given full honors at DOJ Annual Awards Ceremony, attendees include Zebley, Laufman, Yates
| Mar 09, 2007 | Robert Levinson, possibly working for British American Tobacco in London, reported missing in Iran
| Apr 25, 2007 | Fox News: "Former FBI Agent Robert Levinson: Missing in Iran?"
| Sep ??, 2007 | Trump SoHo opening [see: Dec 7, 2007 NYT]
| Dec 07, 2007 | NYT: "Real Estate Executive With Hand in Trump Projects Rose From Tangled Past"
| Jan 01, 2008 | Victor Pinchuk, Ukraine oligarch, pledges five-year, $29-million commitment to the Clinton Global Initiative
| Jan 24, 2008 | WaPo: "Spy vs Spy" (David Wise book review wrt defector Sergei Tretyakov)
| May 05, 2008 | Global Energy Capital, LLC registered in NYC
| Jun 01, 2008 | Hillary's Apple server (runs until March 2009)
| Jun 17, 2009 | Harper's: "Russian Oligarch Retains Advisory Firm Close to Hillary to Help Resolve Visa Ban"
| ??? ??, 2009 | Jonathan Finer befriends Christopher Steele, accordeing to a 2018-Feb-8 WaPo op-ed
| ??? ??, 2009 | Deripaska courted by FBI agents (one is McCabe) to assist in recovery of CIA agent Levinson in Iran
| Jan 21, 2009 | NYT: "Senate Confirms Clinton as Secretary of State"
| Mar ??, 2009 | HRC's Pagliano bathroom server (runs until June 30, 2013)
| Mar 06, 2009 | Reuters: "Clinton, Lavrov push wrong reset button on ties"
| Mar 16, 2009 | Orbis founded by Christopher Burrows and Christopher Steele [see: Apr 22, 2018 @The_War_Economy]
| Jan 27, 2010 | Ukrainian intel reportedly uncovers a Russian spy network and expels four Russian officers [see: Feb 3, 2010 RT]
| Feb ??, 2010 | White House briefed on 10 Russian spies under surveillance [see: Jul 9, 2010 @markknoller]
| Feb 03, 2010 | RT: "The “strange story” of Russian spies in Ukraine"
| Apr 13, 2010 | @markknoller: "Clinton & Lavrov shake hands after signing the plutonium protocol (sounds like a cold war movie title)"
| Jun ??, 2010 | Glenn Simpson, alongside Bruce and Nellis Ohr, are published in CIA Open Source Works report
| Jun ??, 2010 | U.S. intel decide to take action against Russians, brief Obama on spy swap on Jun 11 [see: Jul 9, 2010 Fox News]
| Jun ??, 2010 | Retired FBI executive says agents feared Cynthia Murphy was too close to HRC [see: October 22, 2017 The Hill]
| Jun ??, 2010 | Vladimir Poteyev (son of Colonel Poteyev) reportedly flees to U.S. [see: Nov 10, 2010 Sputnik]
| Jun 13, 2010 | Sergei Tretyakov dies at his home in Florida [see: Jul 9, 2010 NYT]
| Jun 17, 2010 | Russian spy, Christopher Metsos, flies from the U.S. to Cyprus [see: Jul 2, 2010 Stratfor]
| Jun 19, 2010 | Aleksander Poteyev reportedly flees to the U.S. three days before Medvedev visits U.S. [see: Nov 11, 2010 Kommersant]
| Jun 21, 2010 | Aleksander Poteyev reportedly flees to the U.S. six days before 10 Illegals arrested [see: Nov 15, 2010 Moscow Times]
| Jun 22, 2010 | @Schwarzenegger: "Greeting Russian President Medvedev in San Francisco http://twitpic.com/1z59fr"
| Jun 23, 2010 | @WhiteHouse: "Welcome to @twitter President Medvedev! RT @KremlinRussia_E: Hello everyone! I'm on Twitter, and this is my first tweet."
| Jun 24, 2010 | ABC News: "Channeling President Bush's 'Internets,' President Obama Praises Medvedev's Visit to 'Twitters'"
| Jun 24, 2010 | @MajorCBS: "Medvedev burger : w/cheddar cheese, onions, jalapenos and mushrooms."
| Jun 25, 2010 | @markknoller: "The Burger Summit: photo of Obama & Medvedev at burger joint yesterday on front page NYTimes, Wall St Journal & USA Today et al."
| Jun 25, 2010 | Foreign Policy: "What Medvedev's U.S. visit was really about."
| Jun 25, 2010 | Moscow Times: "Apple CEO Advises Medvedev to Change Russian Mentality" (Cisco Systems pledges $1.0b for Skolkovo)
| Jun 25, 2010 | Comey joins Bridgewater Associates LP
| Jun 26, 2010 | Medvedev leaves U.S. to visit Ontario for G8 Summit
| Jun 26, 2010 | Anna Chapman calls her father about a suspicious request from her SVR handler
| Jun 27, 2010 | Scheduled departure day for SVR Illegal Chris Murphy to fly to Moscow [see: Jul 12, 2010 WaPo]
| Jun 27, 2010 | U.S. and Russia begin discussions on spies arrested in New York [see: Jul 8, 2010 WaPo]
| Jun 28, 2010 | @CBSNews: "FBI: 10 Russian Spies Arrested in U.S." (12:56pm)
| Jun 28, 2010 | @gavinsblog: "Interesting those arrests happen just after Medvedev visits the US" (2:09pm)
| Jun 29, 2010 | Bill Clinton receives $500k for a speech in Mosecow given to Renaissance Capital [see: July 18, 2017 Fox News]
| Jun 29, 2010 | Russian spy, Christopher Metsos, arrested in Cyprus, posts bail same day, flees [see: Jul 2, 2010 Stratfor]
| Jul 02, 2010 | Stratfor: "The Dismantling of a Suspected Russian Intelligence Operation" (re: Tretyakov)
| Jul 07, 2010 | @SkyNewsBreak: "Russia to swap jailed scientist for one of the suspected spies being held in the US, a lawyer tells Reuters agency" (1:59am)
| Jul 08, 2010 | @BreakingNews: "Russian agency quotes lawyer as saying Igor Sutyagin, convicted of spying for U.S., already in Vienna, indicating spy swap imminent" (6:43am)
